date,state,daily
1/17/2021,Malaysia,239
1/18/2021,Malaysia,435
1/19/2021,Malaysia,531
1/20/2021,Malaysia,507
1/21/2021,Malaysia,510
1/22/2021,Malaysia,299
1/23/2021,Malaysia,85
1/24/2021,Malaysia,222
1/25/2021,Malaysia,449
1/26/2021,Malaysia,452
1/27/2021,Malaysia,466
1/28/2021,Malaysia,267
1/29/2021,Malaysia,271
1/30/2021,Malaysia,78
1/31/2021,Malaysia,195
2/1/2021,Malaysia,421
2/2/2021,Malaysia,485
2/3/2021,Malaysia,482
2/4/2021,Malaysia,450
2/5/2021,Malaysia,340
2/6/2021,Malaysia,97
2/7/2021,Malaysia,216
2/8/2021,Malaysia,456
2/9/2021,Malaysia,427
2/10/2021,Malaysia,445
2/11/2021,Malaysia,309
2/12/2021,Malaysia,12
2/13/2021,Malaysia,33
2/14/2021,Malaysia,54
2/15/2021,Malaysia,426
2/16/2021,Malaysia,488
2/17/2021,Malaysia,592
2/18/2021,Malaysia,518
2/19/2021,Malaysia,386
2/20/2021,Malaysia,127
2/21/2021,Malaysia,218
2/22/2021,Malaysia,491
2/23/2021,Malaysia,438
2/24/2021,Malaysia,545
2/25/2021,Malaysia,429
2/26/2021,Malaysia,404
2/27/2021,Malaysia,128
2/28/2021,Malaysia,299
3/1/2021,Malaysia,390
3/2/2021,Malaysia,482
3/3/2021,Malaysia,484
3/4/2021,Malaysia,462
3/5/2021,Malaysia,375
3/6/2021,Malaysia,208
3/7/2021,Malaysia,321
3/8/2021,Malaysia,463
3/9/2021,Malaysia,529
3/10/2021,Malaysia,601
3/11/2021,Malaysia,328
3/12/2021,Malaysia,359
3/13/2021,Malaysia,284
3/14/2021,Malaysia,261
3/15/2021,Malaysia,467
3/16/2021,Malaysia,513
3/17/2021,Malaysia,681
3/18/2021,Malaysia,657
3/19/2021,Malaysia,365
3/20/2021,Malaysia,255
3/21/2021,Malaysia,241
3/22/2021,Malaysia,440
3/23/2021,Malaysia,511
3/24/2021,Malaysia,509
3/25/2021,Malaysia,504
3/26/2021,Malaysia,353
3/27/2021,Malaysia,205
3/28/2021,Malaysia,239
3/29/2021,Malaysia,473
3/30/2021,Malaysia,441
3/31/2021,Malaysia,563
4/1/2021,Malaysia,423
4/2/2021,Malaysia,393
4/3/2021,Malaysia,183
4/4/2021,Malaysia,178
4/5/2021,Malaysia,481
4/6/2021,Malaysia,503
4/7/2021,Malaysia,545
4/8/2021,Malaysia,559
4/9/2021,Malaysia,335
4/10/2021,Malaysia,271
4/11/2021,Malaysia,342
4/12/2021,Malaysia,439
4/13/2021,Malaysia,277
4/14/2021,Malaysia,407
4/15/2021,Malaysia,411
4/16/2021,Malaysia,321
4/17/2021,Malaysia,85
4/18/2021,Malaysia,147
4/19/2021,Malaysia,296
4/20/2021,Malaysia,452
4/21/2021,Malaysia,375
4/22/2021,Malaysia,451
4/23/2021,Malaysia,286
4/24/2021,Malaysia,92
4/25/2021,Malaysia,102
4/26/2021,Malaysia,259
4/27/2021,Malaysia,343
4/28/2021,Malaysia,287
4/29/2021,Malaysia,199
4/30/2021,Malaysia,217
5/1/2021,Malaysia,20
5/2/2021,Malaysia,78
5/3/2021,Malaysia,219
5/4/2021,Malaysia,244
5/5/2021,Malaysia,260
5/6/2021,Malaysia,327
5/7/2021,Malaysia,277
5/8/2021,Malaysia,71
5/9/2021,Malaysia,112
5/10/2021,Malaysia,203
5/11/2021,Malaysia,128
5/12/2021,Malaysia,58
5/13/2021,Malaysia,12
5/14/2021,Malaysia,23
5/15/2021,Malaysia,44
5/16/2021,Malaysia,73
5/17/2021,Malaysia,224
5/18/2021,Malaysia,271
5/19/2021,Malaysia,281
5/20/2021,Malaysia,321
5/21/2021,Malaysia,268
5/22/2021,Malaysia,113
5/23/2021,Malaysia,136
5/24/2021,Malaysia,300
5/25/2021,Malaysia,321
5/26/2021,Malaysia,94
5/27/2021,Malaysia,308
5/28/2021,Malaysia,252
5/29/2021,Malaysia,50
5/30/2021,Malaysia,115
5/31/2021,Malaysia,215
6/1/2021,Malaysia,172
6/2/2021,Malaysia,287
6/3/2021,Malaysia,336
6/4/2021,Malaysia,257
6/5/2021,Malaysia,87
6/6/2021,Malaysia,98
6/7/2021,Malaysia,41
6/8/2021,Malaysia,299
6/9/2021,Malaysia,470
6/10/2021,Malaysia,365
6/11/2021,Malaysia,295
6/12/2021,Malaysia,103
6/13/2021,Malaysia,163
6/14/2021,Malaysia,314
6/15/2021,Malaysia,332
6/16/2021,Malaysia,494
6/17/2021,Malaysia,324
6/18/2021,Malaysia,355
6/19/2021,Malaysia,92
6/20/2021,Malaysia,129
6/21/2021,Malaysia,328
6/22/2021,Malaysia,392
6/23/2021,Malaysia,401
6/24/2021,Malaysia,438
6/25/2021,Malaysia,259
6/26/2021,Malaysia,90
6/27/2021,Malaysia,155
6/28/2021,Malaysia,328
6/29/2021,Malaysia,392
6/30/2021,Malaysia,471
7/1/2021,Malaysia,492
7/2/2021,Malaysia,311
7/3/2021,Malaysia,105
7/4/2021,Malaysia,146
7/5/2021,Malaysia,298
7/6/2021,Malaysia,400
7/7/2021,Malaysia,422
7/8/2021,Malaysia,468
7/9/2021,Malaysia,314
